Title,TITLE NAME,UnclassifiedSL,TITLE CODE,SG,JC,NU,FOC,LEVEL,STD. NO.,AGENCY CODE,NBR POS,DECNTRL. LVL.,DUTIES ONLY,SG_UNCLASS
Div I Dir Athletics/Athletic D,Diversity & Inclusion Specialist 1 ,1 ,1481100 ,18 ,0 ,06 ,2,J ,1481100F,08000 ,5 ,NA,N ,
Vice Pres Acadc Affr,Vice President for Academic Affairs (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assnt V P Hosp Affrs,Assnt Dir Office Aging Programs ,Programs ,2875700 ,63 ,0 ,06 ,1,J ,NA,01370 ,4 ,NA,N ,
Vice Pres Dev,Vice President (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Div I Head Bsktball Coach (Rp),Div Dir Health Systems Management ,Management ,2883700 ,NS ,2 ,06 ,1,J ,NA,12000 ,1 ,NA,N ,
President,President (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Vice Pres Health Sci,Vice President for Health Sciences (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Professor 12 Months,Professor (12 month) (B3),(B3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Disting Prof-10 Mo,Distinguished Professor (10 month) (A3),(A3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Professor&Chrmn M Gft,Professor for EOC (10 month) (A3),(A3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dean (Engineering),Dean (Medicine) (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Professor (Gft),Professor (GFT) (G3),(G3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Exec Vice Pres,Executive Vice Pres ,Pres ,2834802 ,NS ,2 ,06 ,1,J ,NA,11100 ,1 ,NA,N ,
Div I Head Football Coach (Rp),Div Dir Health Systems Management ,Management ,2883700 ,NS ,2 ,06 ,1,J ,NA,12000 ,1 ,NA,N ,
Professor&Chrmn H Sci,Professor (HS) (C3),(C3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Visit Prof Hs,Visiting Professor (HS) (C3),(C3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Professor (Hs),Professor (HS) (C3),(C3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dean (Dentistry),Dean (Dentistry) (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assnt V P,Assnt To Supt ,Supt ,2811105 ,NS ,2 ,06 ,2,J ,NA,37000 ,2 ,NA,N ,
Dean Pharmacy,Dean (Pharmacy) (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Professor 10 Months,Professor (10 month) (A3),(A3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dean Arts&Science,Dean (Nursing) (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dean Medicine,Dean (Medicine) (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Vice Pres,Vice President (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Exec Assnt President,Executive Assistant to President (MP III),III),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Disting Prof Ldng 10M,Distinguished Professor (Leading) (10 month) (A1),(A1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Disting Prof Ldng-12m,Distinguished Professor (Leading) (12 month) (B1),(B1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Clinical Assoc Pr-Gft,Clinical Associate Professor (GFT) (G4),(G4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Disting Prof-12 Mo,Distinguished Professor (12 month) (B3),(B3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Disting Srv Prof Gft,Distinguished Service Professor (GFT) (G3),(G3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dean (Nursing),Dean (Nursing) (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Associate Vice President,Associate Vice Chancellor (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dean,Dean (Nursing) (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Vice Pres Rsch,Vice President for Research (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Disting Prof Ldng-12M,Distinguished Professor (Leading) (12 month) (B1),(B1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dean Of Social Welf,Dean (Clinical Campus) (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Professor Ldng-12 Mo,Professor (Leading) (10 Month) (A1),(A1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dean Graduate Studies,Dean of Students (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assoc Professor-Gft,Assoc In Professional Educ ,Educ ,3504500 ,26 ,0 ,05 ,2,J ,3504475F,11000 ,9 ,NA,N ,
Chrmn H Sci,Chairman ,Chairman ,3520900 ,OS ,4 ,06 ,1,A ,NA,XXXXX ,3 ,NA,N ,
Dstg Prof (Hs),Visiting Professor (HS) (C3),(C3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dstg Svc Prof (Hs),Distinguished Professor (HS) (C3),(C3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dir Mangt Info System,Dir Information Systems Management ,Management ,0819990 ,67 ,0 ,06 ,1,J ,NA,01110 ,1 ,NA,N ,
Visiting Profssr 12Mo,Visiting Professor (HS) (C3),(C3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assoc Professor-12 Mo,Associate Professor (12 month) (B4),(B4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dir Instrl Resourc,Dir Insur Fund Customer Service ,Service ,2251900 ,65 ,1 ,06 ,2,J ,NA,00640 ,1 ,NA,N ,
T H Assoc Admr,T.H. Associate Administrator (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Clinical Profesor-Gft,Clinical Professor (GFT) (G3),(G3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Visiting Profssr 10Mo,Visiting Professor (HS) (C3),(C3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assoc Dean Medicine,Associate Dean (Medicine) (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assoc Professor-10 Mo,Associate Professor (10 month) (A4),(A4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Resch Assnt Prof-Hs,Research Assistant Professor (A5),(A5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dean Allied Hlt Profs,Dean (Dentistry) (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Associate Provost,Associate Provost for Health Sciences (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Professor Ldng-10 Mo,Professor (Leading) (10 Month) (A1),(A1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Disting Prof Gft,Distinguished Professor (GFT) (G3),(G3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Clinical Assnt Pr-Gft,Clinical Assistant Professor (GFT) (G5),(G5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Vice Pres Univ Affair,Vice President for University Affairs (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assnt V P Hlth Sci Ad,Assnt Supvr Hospital Fiscal Admr ,Admr ,0273725 ,23 ,0 ,05 ,2,J ,NA,12030 ,2 ,NA,N ,
Disting Tch Prf-10 Mo,Distinguished Teaching Professor (10 month) (A3),(A3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Clinical Assoc Pr Hs,Clinical Associate Professor (HS) (C4),(C4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Disting Prof Ldng 10m,Distinguished Professor (Leading) (10 month) (A1),(A1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dstg Tch Prof (Hs),Distinguished Professor (HS) (C3),(C3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Visit Prof Gft,Visiting Professor (GFT) (G3),(G3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Supvg Intrnl Aud,Supvg Internal Control & Audit Specialist ,Specialist ,0322450 ,31 ,0 ,05 ,2,J ,0322250F,37000 ,2 ,NA,N ,
Dir Fine Arts Center,Dir Addiction Treatment Center 1 ,1 ,5276860 ,63 ,1 ,06 ,1,J ,5246950F,53500 ,10 ,NA,N ,
Resch Prof-10Month,Research Professor (10 month) (A3),(A3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Clinical Assnt Pr Hs,Clinical Associate Professor (HS) (C4),(C4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dir 08,Director 08 (SL6),(SL6),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assnt Professor Hs,Assistant Professor (HS) (C5),(C5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dir,Dir Ddso ,Ddso ,5214900 ,68 ,1 ,06 ,1,J ,5214900F,51XXX ,14 ,NA,N ,
Dstg Tch Prof (Gft),Distinguished Teaching Professor (GFT) (G3),(G3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Science,Scientist Archeology ,Archeology ,3801241 ,18 ,1 ,05 ,2,J ,3801241T,49070 ,4 ,NA,N ,
Disting Srv Prof 10Mo,Distinguished Service Professor (10 month) (A3),(A3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Clinical Professor Hs,Clinical Professor (HS) (C3),(C3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assnt V P&Controllr,Assnt Deputy Comptroller ,Comptroller ,2827070 ,NS ,2 ,06 ,1,J ,NA,02000 ,16 ,NA,N ,
Assoc Dean Alld Hlt P,Assoc Trans Analyst ,Analyst ,2132400 ,27 ,0 ,05 ,2,J ,2132200T,17XXX ,36 ,NA,N ,
Professor&Chrmn M,Professor (10 month) (A3),(A3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Associate Dean,Associate Dean (Nursing) (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Vice Pres Studnt Afrs,Vice President for Student Affairs (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Div I Head Coach,Div Dir Health Systems Management ,Management ,2883700 ,NS ,2 ,06 ,1,J ,NA,12000 ,1 ,NA,N ,
Resch Prof-10month,Research Professor (10 month) (A3),(A3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Vice Pres Fin&Mgt,Vice President (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Asst Vp Fin Mg Mt,Assnt Dir Weights & Measures ,Measures ,7897800 ,61 ,0 ,06 ,1,J ,7896100F,06000 ,1 ,NA,N ,
Assnt Professor-10 Mo,Assistant Professor (10 month) (A5),(A5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Chrmn M Gft,Chairman Of State Athletic Comm ,Comm ,9031900 ,OS ,4 ,06 ,1,A ,NA,19000 ,1 ,NA,N ,
Resch Prof-12Month,Research Professor (12 month) (B3),(B3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assoc Professor Hs,Associate Professor (HS) (C4),(C4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Med Rad Assoc Dir,T.H. Medical Records Assistant Director (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Budgt Control Offcr,Budget Control Officer (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Resch Assoc Prof-Hs,Research Associate Professor (A4),(A4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Associate Counsel,Associate Counselor (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
College Physician,College Physician (SL6),(SL6),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assoc Dir Comp Srvs,Assoc Dir Toxicology Services ,Services ,9202650 ,29 ,1 ,05 ,2,P ,9202600T,01060 ,1 ,NA,N ,
Visit Assoc Prof Gft,Visiting Assistant Professor (GFT) (G5),(G5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Visit Assoc Prof Hs,Visiting Associate Professor (HS) (C4),(C4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assistant Chief Of Police,Assistant Chief of Police (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Director Of Fund Raising,Director of Communications (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
University Professor,University Professor (A3),(A3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Disting Srv Prof 12Mo,Distinguished Service Professor (12 month) (B3),(B3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Nursing Director,Nursing Director Regional Medical Unit ,Unit ,5555500 ,23 ,0 ,06 ,2,J ,5555500F,10XXX ,4 ,NA,N ,
Div I Sr Assoc Athletic Dir,Dir Youth Services Quality Assurance ,Assurance ,6676400 ,64 ,0 ,06 ,2,J ,6676400F,25000 ,1 ,NA,N ,
Assnt V P Univty Affr,Assnt Admnv Officer ,Officer ,2807950 ,NS ,0 ,06 ,1,J ,NA,XXXXX ,4 ,NA,N ,
Assnt Professor-Gft,Assnt In Professional Educ ,Educ ,3504475 ,22 ,0 ,05 ,2,J ,3504475F,11000 ,4 ,NA,N ,
Visiting Profssr 10mo,Visiting Professor (10 month) (A3),(A3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Senr Staff Assoc,Senr Dental Assnt ,Assnt ,5350300 ,10 ,0 ,04 ,5,J ,5350200F,28XXX ,13 ,S ,Y ,
Assistant Dean,Assistant Dean (SL5),(SL5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dir Acadmc Advismnt,Dir Admnv Services ,Services ,2860900 ,NS ,0 ,10 ,1,J ,NA,55090 ,1 ,NA,N ,
Chief Of Police,Chief of Police (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dstg Tch Prof (Cft),Distinguished Teaching Professor (HS) (C3),(C3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Senr Assnt Vice Pres,Senr Landscape Architect ,Architect ,5001300 ,24 ,0 ,05 ,2,J ,5001200T,XXXXX ,43 ,S ,Y ,
Assnt V P Humn Resrcs,Assnt Dir Div Marine Resources ,Resources ,1606800 ,63 ,0 ,06 ,2,J ,NA,09000 ,2 ,NA,N ,
Controllr,Comptroller ,Comptroller ,0000300 ,OS ,4 ,06 ,1,E ,NA,02000 ,1 ,NA,N ,
Visiting Assnt P 10Mo,Visiting Assistant Professor (10 month) (A5),(A5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Campus Controller,Comptroller ,Comptroller ,0000300 ,OS ,4 ,06 ,1,E ,NA,02000 ,1 ,NA,N ,
Senr Persnl Assoc,Senr Dental Assnt ,Assnt ,5350300 ,10 ,0 ,04 ,5,J ,5350200F,28XXX ,13 ,S ,Y ,
Facilities Pgm Cord-8,Facilities Program Coordinator (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assnt V P Faclts&Oper,Assnt Dir Park Police ,Police ,8714900 ,63 ,0 ,06 ,1,J ,NA,49070 ,1 ,NA,N ,
Dir Counseling,Dir Funeral Directing ,Directing ,6441850 ,62 ,0 ,06 ,1,J ,6441850F,12000 ,1 ,NA,N ,
Dir Alumni Affairs,Dir Animal Industry ,Industry ,1202900 ,68 ,1 ,06 ,1,J ,1201100F,06000 ,1 ,NA,N ,
Clinical Profesor-10M,Clinical Professor (10 month) (A3),(A3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Resch Prof-Hs,Research Professor (A3),(A3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Staff Associate,Staff Associate (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dean Of Students,Dean of Students (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Clinical Assoc Pr 12M,Clinical Associate Professor (12 month) (B4),(B4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Assoc Dir Pharm,T.H. Associate Director of Pharmacy (SL5),(SL5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Lecturer-10 Month,Lecturer (10 month) (A0),(A0),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Disting Srv Prof 10mo,Distinguished Service Professor (10 month) (A3),(A3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
College Registrar,College Registrar (SL5),(SL5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Resch Assoc Prof-10M,Research Associate Professor (10 month) (A4),(A4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Senr Pharmacist,T.H. Senior Pharmacist (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assistant Provost,Assistant Geologist ,Geologist ,4028031 ,20 ,0 ,05 ,2,J ,4028031T,XXXXX ,55 ,S ,Y ,
Assnt Dir Adm Finance,Assnt Dir Benefit Admn ,Admn ,1406600 ,64 ,0 ,06 ,1,J ,NA,08000 ,3 ,NA,N ,
Public Relations Offr,Public Relations Officer (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assoc Univ Finl Anlst,Assoc Admnv Analyst ,Analyst ,2810400 ,23 ,0 ,05 ,2,J ,2810300F,XXXXX ,154 ,NA,N ,
Health Sciences Librn,Health Sciences Librarian (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dir Facilts Plng,Dir Facilities Planning & Development ,Development ,4909900 ,62 ,0 ,06 ,1,J ,NA,25000 ,1 ,NA,N ,
Librarian,Librarian 1 ,1 ,3601010 ,NS ,0 ,05 ,2,T ,NA,XXXXX ,0 ,NA,N ,
Univ Pol Inv 1,University Police Investigator 1 ,1 ,8756210 ,17 ,0 ,31 ,4,J ,8756210F,28XXX ,38 ,S ,Y ,
Dean Continuing Educ,Dean of Students (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assnt Dir Comptng Sv,Assnt Dir Testing Services ,Services ,1412800 ,65 ,0 ,06 ,1,J ,NA,08000 ,1 ,NA,N ,
Research Associate,Research Associate (R2),(R2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assnt Univ Fin Anl 08,Assnt Dir Financial Admn 1 ,1 ,0298100 ,25 ,0 ,05 ,1,J ,0298100F,XXXXX ,14 ,NA,N ,
Assoc Instrl Resrcs,Assoc Industrial Hygienist ,Hygienist ,7840400 ,23 ,0 ,05 ,2,J ,7840300T,XXXXX ,19 ,NA,N ,
Dir Libraries,Dir Laboratories & Research ,Research ,6172900 ,68 ,1 ,06 ,1,J ,6172900F,12000 ,1 ,NA,N ,
